;TNF-alpha;x(H2O);n_oxy_M;r_cat;EN_M;s(log Mtot);zeta;SSA;dmin;dmax;SF;CSF;Agg
AlOOH-1;1.13;0.5;3;67.5;1.61;-6.5;37;121;10;300;30;1.48;0
AlOOH-2;0.96;0.5;3;67.5;1.61;-6.5;39;107;10;30;3;-0.48;0
AlOOH-3;1;0.5;3;67.5;1.61;-6.5;37;62;6;300;50;1.7;1
AlOOH-4;0.99;0.5;3;67.5;1.61;-6.5;33;40;10;100;10;1;0
AlOOH-5;0.94;0.5;3;67.5;1.61;-6.5;37;54;5;50;10;1;2
Ni(OH)2-1;3.8;1;2;83;1.91;-3.5;40;190;3;10;3;-0.48;1
Ni(OH)2-2;2.08;1;2;83;1.91;-3.5;44;226;2;10;5;-0.7;2
Ni(OH)2-3;3.51;1;2;83;1.91;-3.5;31;192;3;30;10;-1;1
Ni(OH)2-4;2.73;1;2;83;1.91;-3.5;31;86;10;60;6;-0.78;0
Ni(OH)2-5;2.54;1;2;83;1.91;-3.5;35;10;50;200;4;-0.6;0
NiO;1.19;0;2;83;1.91;-12;35;40;10;30;3;-0.48;0
ZnO-1;0.83;0;2;88;1.65;-2.5;15;93;10;10;1;0;2
ZnO-2;0.9;0;2;88;1.65;-2.5;29;19;40;150;4;0.6;1
CeO2-1;1.5;0;4;101;1.12;-9.5;-26;151;4;40;10;1;1
CeO2-2;1.7;0;4;101;1.12;-9.5;-30;52;5;5;1;0;2
CeO2-3;1.68;0;4;101;1.12;-9.5;-35;61;8;40;5;0.7;1
CeO2-4;1.18;0;4;101;1.12;-9.5;-17;60;18;18;1;0;1
CeO2-5;1.75;0;4;101;1.12;-9.5;-31;37;8;90;10;1;1
CeO2-6;0.93;0;4;101;1.12;-9.5;9;61;15;15;1;0;1
TiO2-1;2.25;0;4;74.5;1.54;-9;9;94;20;35;2;0.3;2
TiO2-2;0.99;0;4;74.5;1.54;-9;1;302;2;2;1;0;2
TiO2-3;3.58;0;4;74.5;1.54;-9;-4;45;20;20;1;0;1
TiO2-4;1.49;0;4;74.5;1.54;-9;0;44;10;50;5;0.7;2
SiO2-1;2.81;0;4;54;1.9;-2.7;-9;326;10;10;1;0;2
SiO2-2;2.66;0;4;54;1.9;-2.7;-29;447;14;14;1;0;2
